Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
24648,2025-07-24 00:00:36.436522,2025-07-24 00:00:36.878279,0.01,0,0,0,0,0
24649,2025-07-24 00:01:37.307403,2025-07-24 00:01:37.748075,0.01,0,0,0,0,0
24650,2025-07-24 00:02:38.179959,2025-07-24 00:02:38.807643,0.01,0,1,1,1,0
24651,2025-07-24 00:03:39.239585,2025-07-24 00:03:39.904367,0.01,0,1,1,1,0
24652,2025-07-24 00:04:40.336290,2025-07-24 00:04:40.981919,0.01,0,1,1,1,0
24653,2025-07-24 00:05:41.414182,2025-07-24 00:05:42.073254,0.01,0,1,1,1,0
24654,2025-07-24 00:06:42.516166,2025-07-24 00:06:43.136112,0.01,0,1,1,1,0
24655,2025-07-24 00:07:43.569438,2025-07-24 00:07:44.372254,0.01,0,1,1,1,0
24656,2025-07-24 00:08:44.799842,2025-07-24 00:08:45.688498,0.01,0,1,1,1,0
24657,2025-07-24 00:09:46.117726,2025-07-24 00:09:46.981694,0.01,0,1,1,1,0
24658,2025-07-24 00:10:47.413974,2025-07-24 00:10:48.249781,0.01,0,1,1,1,0
24659,2025-07-24 00:11:48.679922,2025-07-24 00:11:49.558876,0.01,0,1,1,1,0
24660,2025-07-24 00:12:49.985282,2025-07-24 00:12:50.828061,0.01,0,1,1,1,0
24661,2025-07-24 00:13:51.256252,2025-07-24 00:13:52.096116,0.01,0,1,1,1,0
24662,2025-07-24 00:14:52.528480,2025-07-24 00:14:53.401359,0.01,0,1,1,1,0
24663,2025-07-24 00:15:53.829578,2025-07-24 00:15:54.703097,0.01,0,1,1,1,0
24664,2025-07-24 00:16:55.138486,2025-07-24 00:16:56.019590,0.01,0,1,1,1,0
24665,2025-07-24 00:17:56.453415,2025-07-24 00:17:57.337640,0.01,0,1,1,1,0
24666,2025-07-24 00:18:57.766349,2025-07-24 00:18:58.656310,0.01,0,1,1,1,0
24667,2025-07-24 00:19:59.084004,2025-07-24 00:20:00.018591,0.02,0,1,1,1,0
24668,2025-07-24 00:21:00.459999,2025-07-24 00:21:01.349177,0.01,0,1,1,1,0
24669,2025-07-24 00:22:01.787591,2025-07-24 00:22:02.832090,0.02,0,1,1,1,0
24670,2025-07-24 00:23:03.260765,2025-07-24 00:23:04.252148,0.02,0,1,1,1,0
24671,2025-07-24 00:24:04.697113,2025-07-24 00:24:05.692175,0.02,0,1,1,1,0
24672,2025-07-24 00:25:06.119099,2025-07-24 00:25:07.140493,0.02,0,1,1,1,0
24673,2025-07-24 00:26:07.568673,2025-07-24 00:26:08.550049,0.02,0,1,1,1,0
24674,2025-07-24 00:27:08.978347,2025-07-24 00:27:09.965522,0.02,0,1,1,1,0
24675,2025-07-24 00:28:10.397427,2025-07-24 00:28:11.422038,0.02,0,1,1,1,0
24676,2025-07-24 00:29:11.852694,2025-07-24 00:29:12.992104,0.02,0,1,1,1,0
24677,2025-07-24 00:30:13.420050,2025-07-24 00:30:14.600181,0.02,0,1,1,1,0
