Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
28516,2025-07-27 00:00:18.721264,2025-07-27 00:00:29.783465,0.18,0,2,2,2,0
28517,2025-07-27 00:01:30.215905,2025-07-27 00:01:30.675797,0.01,0,1,1,1,0
28518,2025-07-27 00:02:31.105727,2025-07-27 00:02:31.565564,0.01,0,1,1,1,0
28519,2025-07-27 00:03:31.997366,2025-07-27 00:03:32.496453,0.01,0,1,1,1,0
28520,2025-07-27 00:04:33.075855,2025-07-27 00:04:33.579730,0.01,0,1,1,1,0
28521,2025-07-27 00:05:34.009207,2025-07-27 00:05:34.512721,0.01,0,1,1,1,0
28522,2025-07-27 00:06:34.944379,2025-07-27 00:06:35.405282,0.01,0,1,1,1,0
28523,2025-07-27 00:07:35.836354,2025-07-27 00:07:36.337042,0.01,0,1,1,1,0
28524,2025-07-27 00:08:36.769318,2025-07-27 00:08:37.268408,0.01,0,1,1,1,0
28525,2025-07-27 00:09:37.702051,2025-07-27 00:09:38.195716,0.01,0,1,1,1,0
28526,2025-07-27 00:10:38.628295,2025-07-27 00:10:39.116560,0.01,0,1,1,1,0
28527,2025-07-27 00:11:39.550282,2025-07-27 00:11:40.013498,0.01,0,1,1,1,0
28528,2025-07-27 00:12:40.447196,2025-07-27 00:12:40.947539,0.01,0,1,1,1,0
28529,2025-07-27 00:13:41.380071,2025-07-27 00:13:41.836978,0.01,0,1,1,1,0
28530,2025-07-27 00:14:42.267174,2025-07-27 00:14:42.723354,0.01,0,1,1,1,0
28531,2025-07-27 00:15:43.157087,2025-07-27 00:15:43.618311,0.01,0,1,1,1,0
28532,2025-07-27 00:16:44.050616,2025-07-27 00:16:44.556466,0.01,0,1,1,1,0
28533,2025-07-27 00:17:44.994565,2025-07-27 00:17:45.495792,0.01,0,1,1,1,0
28534,2025-07-27 00:18:45.925737,2025-07-27 00:18:46.422416,0.01,0,1,1,1,0
28535,2025-07-27 00:19:46.851939,2025-07-27 00:19:47.344417,0.01,0,1,1,1,0
28536,2025-07-27 00:20:47.773202,2025-07-27 00:20:48.233105,0.01,0,1,1,1,0
28537,2025-07-27 00:21:48.669829,2025-07-27 00:21:49.168318,0.01,0,1,1,1,0
28538,2025-07-27 00:22:49.599682,2025-07-27 00:22:50.100773,0.01,0,1,1,1,0
28539,2025-07-27 00:23:50.530367,2025-07-27 00:23:50.991753,0.01,0,1,1,1,0
28540,2025-07-27 00:24:51.424734,2025-07-27 00:24:51.908423,0.01,0,1,1,1,0
28541,2025-07-27 00:25:52.338673,2025-07-27 00:25:52.844201,0.01,0,1,1,1,0
28542,2025-07-27 00:26:53.273602,2025-07-27 00:26:53.774704,0.01,0,1,1,1,0
28543,2025-07-27 00:27:54.204136,2025-07-27 00:27:54.695068,0.01,0,1,1,1,0
28544,2025-07-27 00:28:55.129500,2025-07-27 00:28:55.612045,0.01,0,1,1,1,0
28545,2025-07-27 00:29:56.041689,2025-07-27 00:29:56.535419,0.01,0,1,1,1,0
28546,2025-07-27 00:30:56.964800,2025-07-27 00:30:57.456180,0.01,0,1,1,1,0
28547,2025-07-27 00:31:57.885697,2025-07-27 00:31:58.383071,0.01,0,1,1,1,0
28548,2025-07-27 00:32:58.814394,2025-07-27 00:32:59.311441,0.01,0,1,1,1,0
28549,2025-07-27 00:33:59.746628,2025-07-27 00:34:00.248514,0.01,0,1,1,1,0
28550,2025-07-27 00:35:00.680983,2025-07-27 00:35:01.187774,0.01,0,1,1,1,0
28551,2025-07-27 00:36:01.620143,2025-07-27 00:36:02.119367,0.01,0,1,1,1,0
28552,2025-07-27 00:37:02.553135,2025-07-27 00:37:03.053468,0.01,0,1,1,1,0
