Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
9055,2025-07-12 00:00:03.023751,2025-07-12 00:00:37.514166,0.57,0,1,1,1,0
9056,2025-07-12 00:01:38.410486,2025-07-12 00:02:13.457328,0.58,0,2,2,2,0
9057,2025-07-12 00:03:14.354704,2025-07-12 00:03:15.591712,0.02,0,1,1,1,0
9058,2025-07-12 00:04:16.477793,2025-07-12 00:04:17.723201,0.02,0,1,1,1,0
9059,2025-07-12 00:05:18.611673,2025-07-12 00:05:19.851387,0.02,0,1,1,1,0
9060,2025-07-12 00:06:20.741519,2025-07-12 00:06:22.045985,0.02,0,1,1,1,0
9061,2025-07-12 00:07:22.938387,2025-07-12 00:07:24.225083,0.02,0,1,1,1,0
9062,2025-07-12 00:08:25.110299,2025-07-12 00:08:26.352584,0.02,0,1,1,1,0
9063,2025-07-12 00:09:27.261067,2025-07-12 00:09:28.987509,0.03,0,1,1,1,0
9064,2025-07-12 00:10:29.873110,2025-07-12 00:10:31.605728,0.03,0,1,1,1,0
9065,2025-07-12 00:11:32.496937,2025-07-12 00:11:34.185504,0.03,0,1,1,1,0
9066,2025-07-12 00:12:35.077777,2025-07-12 00:12:36.792769,0.03,0,1,1,1,0
9067,2025-07-12 00:13:37.681844,2025-07-12 00:13:39.388962,0.03,0,1,1,1,0
9068,2025-07-12 00:14:40.277852,2025-07-12 00:14:41.998888,0.03,0,1,1,1,0
9069,2025-07-12 00:15:42.884139,2025-07-12 00:15:44.581239,0.03,0,1,1,1,0
9070,2025-07-12 00:16:45.471186,2025-07-12 00:16:47.333480,0.03,0,1,1,1,0
9071,2025-07-12 00:17:48.223721,2025-07-12 00:17:50.079694,0.03,0,1,1,1,0
9072,2025-07-12 00:18:50.957015,2025-07-12 00:18:52.804178,0.03,0,1,1,1,0
9073,2025-07-12 00:19:53.701295,2025-07-12 00:19:55.566076,0.03,0,1,1,1,0
9074,2025-07-12 00:20:56.450408,2025-07-12 00:20:58.303951,0.03,0,1,1,1,0
9075,2025-07-12 00:21:59.184174,2025-07-12 00:22:00.987570,0.03,0,1,1,1,0
