Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
20834,2025-07-21 00:00:45.586576,2025-07-21 00:00:46.030906,0.01,0,0,0,0,0
20835,2025-07-21 00:01:46.458884,2025-07-21 00:01:46.909592,0.01,0,0,0,0,0
20836,2025-07-21 00:02:47.334114,2025-07-21 00:02:47.775120,0.01,0,0,0,0,0
20837,2025-07-21 00:03:48.198967,2025-07-21 00:03:48.640400,0.01,0,0,0,0,0
20838,2025-07-21 00:04:49.061399,2025-07-21 00:04:49.539470,0.01,0,0,0,0,0
20839,2025-07-21 00:05:49.962862,2025-07-21 00:05:50.401301,0.01,0,0,0,0,0
20840,2025-07-21 00:06:50.826113,2025-07-21 00:06:51.303088,0.01,0,0,0,0,0
20841,2025-07-21 00:07:51.736423,2025-07-21 00:07:52.177052,0.01,0,0,0,0,0
20842,2025-07-21 00:08:52.608238,2025-07-21 00:08:53.091200,0.01,0,0,0,0,0
20843,2025-07-21 00:09:53.535685,2025-07-21 00:09:54.012757,0.01,0,0,0,0,0
20844,2025-07-21 00:10:54.442775,2025-07-21 00:10:54.909409,0.01,0,0,0,0,0
20845,2025-07-21 00:11:55.337806,2025-07-21 00:11:55.809776,0.01,0,0,0,0,0
20846,2025-07-21 00:12:56.238793,2025-07-21 00:12:56.715683,0.01,0,0,0,0,0
20847,2025-07-21 00:13:57.144983,2025-07-21 00:13:57.610492,0.01,0,0,0,0,0
20848,2025-07-21 00:14:58.038470,2025-07-21 00:14:58.504061,0.01,0,0,0,0,0
20849,2025-07-21 00:15:58.941216,2025-07-21 00:15:59.677970,0.01,0,1,1,1,0
20850,2025-07-21 00:17:00.107943,2025-07-21 00:17:00.840773,0.01,0,1,1,1,0
20851,2025-07-21 00:18:01.277722,2025-07-21 00:18:02.060703,0.01,0,1,1,1,0
20852,2025-07-21 00:19:02.489712,2025-07-21 00:19:03.181773,0.01,0,1,1,1,0
20853,2025-07-21 00:20:03.610960,2025-07-21 00:20:04.348917,0.01,0,1,1,1,0
20854,2025-07-21 00:21:04.780855,2025-07-21 00:21:05.521698,0.01,0,1,1,1,0
20855,2025-07-21 00:22:05.955337,2025-07-21 00:22:06.751383,0.01,0,1,1,1,0
20856,2025-07-21 00:23:07.220257,2025-07-21 00:23:08.022718,0.01,0,1,1,1,0
20857,2025-07-21 00:24:08.450902,2025-07-21 00:24:09.248793,0.01,0,1,1,1,0
20858,2025-07-21 00:25:09.683127,2025-07-21 00:25:10.493431,0.01,0,1,1,1,0
20859,2025-07-21 00:26:10.932671,2025-07-21 00:26:11.695999,0.01,0,1,1,1,0
20860,2025-07-21 00:27:12.121391,2025-07-21 00:27:12.884272,0.01,0,1,1,1,0
20861,2025-07-21 00:28:13.308116,2025-07-21 00:28:14.115055,0.01,0,1,1,1,0
20862,2025-07-21 00:29:14.540076,2025-07-21 00:29:15.345116,0.01,0,1,1,1,0
20863,2025-07-21 00:30:15.771567,2025-07-21 00:30:16.547457,0.01,0,1,1,1,0
20864,2025-07-21 00:31:16.974790,2025-07-21 00:31:17.739217,0.01,0,1,1,1,0
20865,2025-07-21 00:32:18.163971,2025-07-21 00:32:18.926355,0.01,0,1,1,1,0
