Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
22119,2025-07-22 00:01:05.922071,2025-07-22 00:01:06.475734,0.01,0,1,1,1,0
22120,2025-07-22 00:02:06.903530,2025-07-22 00:02:07.453751,0.01,0,1,1,1,0
22121,2025-07-22 00:03:07.892101,2025-07-22 00:03:08.455153,0.01,0,1,1,1,0
22122,2025-07-22 00:04:08.885009,2025-07-22 00:04:09.475201,0.01,0,1,1,1,0
22123,2025-07-22 00:05:09.905183,2025-07-22 00:05:10.451609,0.01,0,1,1,1,0
22124,2025-07-22 00:06:10.880392,2025-07-22 00:06:11.474111,0.01,0,1,1,1,0
22125,2025-07-22 00:07:11.902804,2025-07-22 00:07:12.447913,0.01,0,1,1,1,0
22126,2025-07-22 00:08:12.882030,2025-07-22 00:08:13.622008,0.01,0,1,1,1,0
22127,2025-07-22 00:09:14.046762,2025-07-22 00:09:14.854925,0.01,0,1,1,1,0
22128,2025-07-22 00:10:15.282157,2025-07-22 00:10:16.046500,0.01,0,1,1,1,0
22129,2025-07-22 00:11:16.473264,2025-07-22 00:11:17.239762,0.01,0,1,1,1,0
22130,2025-07-22 00:12:17.666434,2025-07-22 00:12:18.429107,0.01,0,1,1,1,0
22131,2025-07-22 00:13:18.855267,2025-07-22 00:13:19.616671,0.01,0,1,1,1,0
22132,2025-07-22 00:14:20.042426,2025-07-22 00:14:20.807553,0.01,0,1,1,1,0
22133,2025-07-22 00:15:21.234271,2025-07-22 00:15:22.041420,0.01,0,1,1,1,0
22134,2025-07-22 00:16:22.475731,2025-07-22 00:16:23.243417,0.01,0,1,1,1,0
22135,2025-07-22 00:17:23.672806,2025-07-22 00:17:24.452010,0.01,0,1,1,1,0
22136,2025-07-22 00:18:24.886329,2025-07-22 00:18:25.650764,0.01,0,1,1,1,0
22137,2025-07-22 00:19:26.079608,2025-07-22 00:19:26.846877,0.01,0,1,1,1,0
22138,2025-07-22 00:20:27.281765,2025-07-22 00:20:28.072254,0.01,0,1,1,1,0
22139,2025-07-22 00:21:28.501777,2025-07-22 00:21:29.344511,0.01,0,1,1,1,0
22140,2025-07-22 00:22:29.772376,2025-07-22 00:22:30.590454,0.01,0,1,1,1,0
22141,2025-07-22 00:23:31.014588,2025-07-22 00:23:31.799935,0.01,0,1,1,1,0
22142,2025-07-22 00:24:32.226730,2025-07-22 00:24:32.995038,0.01,0,1,1,1,0
22143,2025-07-22 00:25:33.422075,2025-07-22 00:25:34.222884,0.01,0,1,1,1,0
22144,2025-07-22 00:26:34.652352,2025-07-22 00:26:35.455536,0.01,0,1,1,1,0
22145,2025-07-22 00:27:35.890051,2025-07-22 00:27:36.658443,0.01,0,1,1,1,0
22146,2025-07-22 00:28:37.103597,2025-07-22 00:28:37.906082,0.01,0,1,1,1,0
22147,2025-07-22 00:29:38.331569,2025-07-22 00:29:39.419109,0.02,0,1,1,1,0
22148,2025-07-22 00:30:39.874534,2025-07-22 00:30:40.971772,0.02,0,1,1,1,0
22149,2025-07-22 00:31:41.399540,2025-07-22 00:31:42.464659,0.02,0,1,1,1,0
22150,2025-07-22 00:32:42.891784,2025-07-22 00:32:43.960938,0.02,0,1,1,1,0
22151,2025-07-22 00:33:44.386252,2025-07-22 00:33:45.450468,0.02,0,1,1,1,0
22152,2025-07-22 00:34:45.878505,2025-07-22 00:34:46.970566,0.02,0,1,1,1,0
22153,2025-07-22 00:35:47.396687,2025-07-22 00:35:48.443252,0.02,0,1,1,1,0
