Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
1,2025-07-03 15:22:57.839480,2025-07-03 15:22:58.324844,0.01,0,1,1,1,0
2,2025-07-03 15:26:22.831841,2025-07-03 15:26:23.068497,0.00,0,0,0,0,0
3,2025-07-03 15:26:34.510237,2025-07-03 15:26:35.029447,0.01,0,1,1,1,0
4,2025-07-03 15:28:19.623971,2025-07-03 15:29:29.750648,1.17,0,0,0,0,0
5,2025-07-03 15:29:32.783088,2025-07-03 15:44:39.550773,15.11,0,1,1,1,0
6,2025-07-03 15:44:44.378264,2025-07-03 15:44:44.769619,0.01,0,1,1,1,0
7,2025-07-03 15:44:49.114356,2025-07-03 15:46:55.888472,2.11,0,1,1,1,0
8,2025-07-03 15:47:00.557207,2025-07-03 15:47:23.427194,0.38,0,1,1,1,0
9,2025-07-03 15:59:47.794010,2025-07-03 15:59:56.961234,0.15,0,1,1,1,0
10,2025-07-03 16:05:28.666868,2025-07-03 16:05:38.124691,0.16,0,1,1,1,0
