Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
31104,2025-07-29 00:00:01.584134,2025-07-29 00:00:23.889070,0.37,0,1,1,1,0
31105,2025-07-29 00:01:24.335519,2025-07-29 00:01:46.415737,0.37,0,1,1,1,0
31106,2025-07-29 00:02:46.848081,2025-07-29 00:03:09.160296,0.37,0,1,1,1,0
31107,2025-07-29 00:04:09.596637,2025-07-29 00:04:10.036021,0.01,0,0,0,0,0
31108,2025-07-29 00:05:10.475376,2025-07-29 00:05:10.915657,0.01,0,0,0,0,0
31109,2025-07-29 00:06:11.342928,2025-07-29 00:06:11.780157,0.01,0,0,0,0,0
31110,2025-07-29 00:07:12.224188,2025-07-29 00:07:12.712765,0.01,0,0,0,0,0
31111,2025-07-29 00:08:13.143119,2025-07-29 00:08:13.583951,0.01,0,0,0,0,0
31112,2025-07-29 00:09:14.016332,2025-07-29 00:09:14.496449,0.01,0,0,0,0,0
31113,2025-07-29 00:10:14.929143,2025-07-29 00:10:15.371585,0.01,0,0,0,0,0
31114,2025-07-29 00:11:15.806643,2025-07-29 00:11:16.285749,0.01,0,0,0,0,0
31115,2025-07-29 00:12:16.716804,2025-07-29 00:12:17.153144,0.01,0,0,0,0,0
31116,2025-07-29 00:13:17.586346,2025-07-29 00:13:18.063811,0.01,0,0,0,0,0
31117,2025-07-29 00:14:18.499589,2025-07-29 00:14:18.967986,0.01,0,0,0,0,0
31118,2025-07-29 00:15:19.401562,2025-07-29 00:15:19.874327,0.01,0,0,0,0,0
31119,2025-07-29 00:16:20.307430,2025-07-29 00:16:20.773135,0.01,0,0,0,0,0
31120,2025-07-29 00:17:21.213720,2025-07-29 00:17:21.708897,0.01,0,0,0,0,0
31121,2025-07-29 00:18:22.143823,2025-07-29 00:18:22.607398,0.01,0,0,0,0,0
31122,2025-07-29 00:19:23.091389,2025-07-29 00:19:23.562893,0.01,0,0,0,0,0
31123,2025-07-29 00:20:24.014238,2025-07-29 00:20:24.505172,0.01,0,0,0,0,0
31124,2025-07-29 00:21:24.937452,2025-07-29 00:21:25.482037,0.01,0,0,0,0,0
31125,2025-07-29 00:22:25.935824,2025-07-29 00:22:26.417259,0.01,0,0,0,0,0
31126,2025-07-29 00:23:26.872244,2025-07-29 00:23:27.345964,0.01,0,0,0,0,0
31127,2025-07-29 00:24:27.780161,2025-07-29 00:24:28.244247,0.01,0,0,0,0,0
31128,2025-07-29 00:25:28.674648,2025-07-29 00:25:29.141953,0.01,0,0,0,0,0
31129,2025-07-29 00:26:29.593396,2025-07-29 00:26:30.057772,0.01,0,0,0,0,0
31130,2025-07-29 00:27:30.557996,2025-07-29 00:27:31.025431,0.01,0,0,0,0,0
31131,2025-07-29 00:28:31.458104,2025-07-29 00:28:31.924531,0.01,0,0,0,0,0
31132,2025-07-29 00:29:32.353388,2025-07-29 00:29:32.825518,0.01,0,0,0,0,0
31133,2025-07-29 00:30:33.255672,2025-07-29 00:30:33.724977,0.01,0,0,0,0,0
31134,2025-07-29 00:31:34.154310,2025-07-29 00:31:34.621488,0.01,0,0,0,0,0
31135,2025-07-29 00:32:35.050267,2025-07-29 00:32:35.521202,0.01,0,0,0,0,0
31136,2025-07-29 00:33:35.951887,2025-07-29 00:33:36.417293,0.01,0,0,0,0,0
31137,2025-07-29 00:34:36.847081,2025-07-29 00:34:37.316742,0.01,0,0,0,0,0
31138,2025-07-29 00:35:37.748324,2025-07-29 00:35:38.219362,0.01,0,0,0,0,0
31139,2025-07-29 00:36:38.666723,2025-07-29 00:36:39.147018,0.01,0,0,0,0,0
31140,2025-07-29 00:37:39.579639,2025-07-29 00:37:40.043895,0.01,0,0,0,0,0
31141,2025-07-29 00:38:40.472667,2025-07-29 00:38:40.940698,0.01,0,0,0,0,0
31142,2025-07-29 00:39:41.376839,2025-07-29 00:39:41.841037,0.01,0,0,0,0,0
31143,2025-07-29 00:40:42.283503,2025-07-29 00:40:42.749777,0.01,0,0,0,0,0
31144,2025-07-29 00:41:43.180364,2025-07-29 00:41:43.633136,0.01,0,0,0,0,0
31145,2025-07-29 00:42:44.061192,2025-07-29 00:42:44.546201,0.01,0,0,0,0,0
31146,2025-07-29 00:43:44.977806,2025-07-29 00:43:45.441054,0.01,0,0,0,0,0
31147,2025-07-29 00:44:45.869395,2025-07-29 00:44:46.330138,0.01,0,0,0,0,0
31148,2025-07-29 00:45:46.760877,2025-07-29 00:45:47.237758,0.01,0,0,0,0,0
31149,2025-07-29 00:46:47.669776,2025-07-29 00:46:48.147585,0.01,0,0,0,0,0
31150,2025-07-29 00:47:48.625188,2025-07-29 00:47:49.089508,0.01,0,0,0,0,0
31151,2025-07-29 00:48:49.527361,2025-07-29 00:48:50.259734,0.01,0,1,1,1,0
