Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
1777,2025-07-06 00:00:44.838629,2025-07-06 00:01:13.224761,0.47,0,1,1,1,0
1778,2025-07-06 00:02:14.126530,2025-07-06 00:02:42.105426,0.47,0,1,1,1,0
1779,2025-07-06 00:03:43.005956,2025-07-06 00:03:44.043021,0.02,0,0,0,0,0
1780,2025-07-06 00:04:44.953968,2025-07-06 00:04:45.876782,0.02,0,0,0,0,0
1781,2025-07-06 00:05:46.763982,2025-07-06 00:05:47.678413,0.02,0,0,0,0,0
1782,2025-07-06 00:06:48.558135,2025-07-06 00:06:49.421650,0.01,0,0,0,0,0
1783,2025-07-06 00:07:50.324475,2025-07-06 00:07:51.240542,0.02,0,0,0,0,0
1784,2025-07-06 00:08:52.132349,2025-07-06 00:08:53.060435,0.02,0,0,0,0,0
1785,2025-07-06 00:09:53.961929,2025-07-06 00:09:54.866269,0.02,0,0,0,0,0
1786,2025-07-06 00:10:55.766227,2025-07-06 00:10:56.631541,0.01,0,0,0,0,0
1787,2025-07-06 00:11:57.544693,2025-07-06 00:11:58.453985,0.02,0,0,0,0,0
1788,2025-07-06 00:12:59.349953,2025-07-06 00:13:00.251942,0.02,0,0,0,0,0
1789,2025-07-06 00:14:01.195889,2025-07-06 00:14:02.110423,0.02,0,0,0,0,0
1790,2025-07-06 00:15:03.020791,2025-07-06 00:15:03.935648,0.02,0,0,0,0,0
1791,2025-07-06 00:16:04.887516,2025-07-06 00:16:05.807694,0.02,0,0,0,0,0
1792,2025-07-06 00:17:06.713079,2025-07-06 00:17:07.603655,0.01,0,0,0,0,0
1793,2025-07-06 00:18:08.496519,2025-07-06 00:18:09.405051,0.02,0,0,0,0,0
1794,2025-07-06 00:19:10.297953,2025-07-06 00:19:11.214141,0.02,0,0,0,0,0
1795,2025-07-06 00:20:12.102672,2025-07-06 00:20:13.010028,0.02,0,0,0,0,0
1796,2025-07-06 00:21:13.900611,2025-07-06 00:21:14.797006,0.01,0,0,0,0,0
1797,2025-07-06 00:22:15.690203,2025-07-06 00:22:16.612981,0.02,0,0,0,0,0
1798,2025-07-06 00:23:17.538161,2025-07-06 00:23:18.424878,0.01,0,0,0,0,0
1799,2025-07-06 00:24:19.332202,2025-07-06 00:24:20.244416,0.02,0,0,0,0,0
1800,2025-07-06 00:25:21.143772,2025-07-06 00:25:22.044212,0.02,0,0,0,0,0
1801,2025-07-06 00:26:22.926337,2025-07-06 00:26:23.824061,0.01,0,0,0,0,0
1802,2025-07-06 00:27:24.738995,2025-07-06 00:27:25.643572,0.02,0,0,0,0,0
1803,2025-07-06 00:28:26.521636,2025-07-06 00:28:27.418357,0.01,0,0,0,0,0
1804,2025-07-06 00:29:28.304473,2025-07-06 00:29:29.200146,0.01,0,0,0,0,0
1805,2025-07-06 00:30:30.100092,2025-07-06 00:30:31.017385,0.02,0,0,0,0,0
1806,2025-07-06 00:31:31.905606,2025-07-06 00:31:32.799133,0.01,0,0,0,0,0
1807,2025-07-06 00:32:33.694582,2025-07-06 00:32:34.588644,0.01,0,0,0,0,0
1808,2025-07-06 00:33:35.498299,2025-07-06 00:33:36.406079,0.02,0,0,0,0,0
1809,2025-07-06 00:34:37.305267,2025-07-06 00:34:38.209459,0.02,0,0,0,0,0
1810,2025-07-06 00:35:39.106304,2025-07-06 00:35:40.081202,0.02,0,0,0,0,0
1811,2025-07-06 00:36:41.040712,2025-07-06 00:36:41.902756,0.01,0,0,0,0,0
1812,2025-07-06 00:37:42.793500,2025-07-06 00:37:43.703164,0.02,0,0,0,0,0
1813,2025-07-06 00:38:44.590092,2025-07-06 00:38:45.480134,0.01,0,0,0,0,0
1814,2025-07-06 00:39:46.371022,2025-07-06 00:39:47.260015,0.01,0,0,0,0,0
1815,2025-07-06 00:40:48.167851,2025-07-06 00:40:49.067691,0.01,0,0,0,0,0
1816,2025-07-06 00:41:49.962135,2025-07-06 00:41:50.861441,0.01,0,0,0,0,0
1817,2025-07-06 00:42:51.749913,2025-07-06 00:42:52.643490,0.01,0,0,0,0,0
1818,2025-07-06 00:43:53.533449,2025-07-06 00:43:54.444735,0.02,0,0,0,0,0
1819,2025-07-06 00:44:55.345584,2025-07-06 00:44:56.272505,0.02,0,0,0,0,0
1820,2025-07-06 00:45:57.158950,2025-07-06 00:45:58.069158,0.02,0,0,0,0,0
1821,2025-07-06 00:46:58.963190,2025-07-06 00:46:59.861573,0.01,0,0,0,0,0
1822,2025-07-06 00:48:00.835945,2025-07-06 00:48:01.749316,0.02,0,0,0,0,0
1823,2025-07-06 00:49:02.637947,2025-07-06 00:49:03.578543,0.02,0,0,0,0,0
1824,2025-07-06 00:50:04.490712,2025-07-06 00:50:05.395702,0.02,0,0,0,0,0
1825,2025-07-06 00:51:06.275729,2025-07-06 00:51:07.180169,0.02,0,0,0,0,0
1826,2025-07-06 00:52:08.063759,2025-07-06 00:52:08.970137,0.02,0,0,0,0,0
1827,2025-07-06 00:53:09.866857,2025-07-06 00:53:10.726663,0.01,0,0,0,0,0
1828,2025-07-06 00:54:11.608110,2025-07-06 00:54:12.516631,0.02,0,0,0,0,0
1829,2025-07-06 00:55:13.425034,2025-07-06 00:55:14.319927,0.01,0,0,0,0,0
1830,2025-07-06 00:56:15.204186,2025-07-06 00:56:16.094378,0.01,0,0,0,0,0
