Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
29856,2025-07-28 00:00:49.144169,2025-07-28 00:00:57.465224,0.14,0,2,2,2,0
29857,2025-07-28 00:01:57.897179,2025-07-28 00:02:06.238374,0.14,0,2,2,2,0
29858,2025-07-28 00:03:06.668490,2025-07-28 00:03:14.849549,0.14,0,2,2,2,0
29859,2025-07-28 00:04:15.284068,2025-07-28 00:04:15.842130,0.01,0,1,1,1,0
29860,2025-07-28 00:05:16.276278,2025-07-28 00:05:16.871242,0.01,0,1,1,1,0
29861,2025-07-28 00:06:17.480436,2025-07-28 00:06:18.082933,0.01,0,1,1,1,0
29862,2025-07-28 00:07:18.512136,2025-07-28 00:07:19.102980,0.01,0,1,1,1,0
29863,2025-07-28 00:08:19.532244,2025-07-28 00:08:20.153605,0.01,0,1,1,1,0
29864,2025-07-28 00:09:20.620593,2025-07-28 00:09:21.240269,0.01,0,1,1,1,0
29865,2025-07-28 00:10:21.667793,2025-07-28 00:10:22.309895,0.01,0,1,1,1,0
29866,2025-07-28 00:11:22.740709,2025-07-28 00:11:23.405434,0.01,0,1,1,1,0
29867,2025-07-28 00:12:23.832220,2025-07-28 00:12:24.494392,0.01,0,1,1,1,0
29868,2025-07-28 00:13:24.919735,2025-07-28 00:13:25.568217,0.01,0,1,1,1,0
29869,2025-07-28 00:14:25.997746,2025-07-28 00:14:26.646390,0.01,0,1,1,1,0
29870,2025-07-28 00:15:27.072202,2025-07-28 00:15:27.773664,0.01,0,1,1,1,0
29871,2025-07-28 00:16:28.205356,2025-07-28 00:16:28.897114,0.01,0,1,1,1,0
29872,2025-07-28 00:17:29.328776,2025-07-28 00:17:30.024345,0.01,0,1,1,1,0
29873,2025-07-28 00:18:30.452190,2025-07-28 00:18:31.146460,0.01,0,1,1,1,0
29874,2025-07-28 00:19:31.575470,2025-07-28 00:19:32.277102,0.01,0,1,1,1,0
29875,2025-07-28 00:20:32.702807,2025-07-28 00:20:33.446996,0.01,0,1,1,1,0
29876,2025-07-28 00:21:33.878586,2025-07-28 00:21:34.600368,0.01,0,1,1,1,0
