Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
33751,2025-07-31 00:00:44.323298,2025-07-31 00:01:04.778968,0.34,0,2,2,2,0
33752,2025-07-31 00:02:05.233966,2025-07-31 00:02:25.884751,0.34,0,2,2,2,0
33753,2025-07-31 00:03:26.324145,2025-07-31 00:03:26.793461,0.01,0,1,1,1,0
33754,2025-07-31 00:04:27.222069,2025-07-31 00:04:27.682030,0.01,0,1,1,1,0
33755,2025-07-31 00:05:28.110177,2025-07-31 00:05:28.620383,0.01,0,1,1,1,0
33756,2025-07-31 00:06:29.051679,2025-07-31 00:06:29.546587,0.01,0,1,1,1,0
33757,2025-07-31 00:07:29.977745,2025-07-31 00:07:30.473049,0.01,0,1,1,1,0
33758,2025-07-31 00:08:30.902603,2025-07-31 00:08:31.372755,0.01,0,1,1,1,0
33759,2025-07-31 00:09:31.801746,2025-07-31 00:09:32.307457,0.01,0,1,1,1,0
33760,2025-07-31 00:10:32.734982,2025-07-31 00:10:33.236803,0.01,0,1,1,1,0
33761,2025-07-31 00:11:33.666104,2025-07-31 00:11:34.169097,0.01,0,1,1,1,0
33762,2025-07-31 00:12:34.599150,2025-07-31 00:12:35.117327,0.01,0,1,1,1,0
33763,2025-07-31 00:13:35.546763,2025-07-31 00:13:36.049859,0.01,0,1,1,1,0
33764,2025-07-31 00:14:36.478793,2025-07-31 00:14:36.935010,0.01,0,1,1,1,0
33765,2025-07-31 00:15:37.365496,2025-07-31 00:15:37.866857,0.01,0,1,1,1,0
33766,2025-07-31 00:16:38.297121,2025-07-31 00:16:38.757302,0.01,0,1,1,1,0
33767,2025-07-31 00:17:39.188233,2025-07-31 00:17:39.690074,0.01,0,1,1,1,0
33768,2025-07-31 00:18:40.121777,2025-07-31 00:18:40.580777,0.01,0,1,1,1,0
33769,2025-07-31 00:19:41.013871,2025-07-31 00:19:41.474123,0.01,0,1,1,1,0
33770,2025-07-31 00:20:41.908340,2025-07-31 00:20:42.422135,0.01,0,1,1,1,0
33771,2025-07-31 00:21:42.858528,2025-07-31 00:21:43.359050,0.01,0,1,1,1,0
33772,2025-07-31 00:22:43.806097,2025-07-31 00:22:44.304482,0.01,0,1,1,1,0
33773,2025-07-31 00:23:44.737955,2025-07-31 00:23:45.234844,0.01,0,1,1,1,0
33774,2025-07-31 00:24:45.682608,2025-07-31 00:24:46.187191,0.01,0,1,1,1,0
33775,2025-07-31 00:25:46.620190,2025-07-31 00:25:47.122697,0.01,0,1,1,1,0
33776,2025-07-31 00:26:47.562313,2025-07-31 00:26:48.052760,0.01,0,1,1,1,0
33777,2025-07-31 00:27:48.493432,2025-07-31 00:27:48.996475,0.01,0,1,1,1,0
33778,2025-07-31 00:28:49.438232,2025-07-31 00:28:49.940988,0.01,0,1,1,1,0
33779,2025-07-31 00:29:50.395014,2025-07-31 00:29:50.892564,0.01,0,1,1,1,0
33780,2025-07-31 00:30:51.322186,2025-07-31 00:30:51.831547,0.01,0,1,1,1,0
33781,2025-07-31 00:31:52.262731,2025-07-31 00:31:52.771175,0.01,0,1,1,1,0
33782,2025-07-31 00:32:53.202223,2025-07-31 00:32:53.705021,0.01,0,1,1,1,0
33783,2025-07-31 00:33:54.142241,2025-07-31 00:33:54.652087,0.01,0,1,1,1,0
33784,2025-07-31 00:34:55.083176,2025-07-31 00:34:55.589249,0.01,0,1,1,1,0
33785,2025-07-31 00:35:56.022466,2025-07-31 00:35:56.531314,0.01,0,1,1,1,0
33786,2025-07-31 00:36:56.968001,2025-07-31 00:36:57.473540,0.01,0,1,1,1,0
33787,2025-07-31 00:37:57.915090,2025-07-31 00:37:58.460576,0.01,0,1,1,1,0
