Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
16778,2025-07-18 00:00:22.014396,2025-07-18 00:00:34.359554,0.21,0,2,2,2,0
16779,2025-07-18 00:01:34.785491,2025-07-18 00:01:47.171281,0.21,0,2,2,2,0
16780,2025-07-18 00:02:47.595629,2025-07-18 00:03:00.169309,0.21,0,2,2,2,0
16781,2025-07-18 00:04:00.609693,2025-07-18 00:04:13.192538,0.21,0,2,2,2,0
16782,2025-07-18 00:05:13.619122,2025-07-18 00:05:14.164718,0.01,0,1,1,1,0
16783,2025-07-18 00:06:14.591498,2025-07-18 00:06:15.204948,0.01,0,1,1,1,0
16784,2025-07-18 00:07:15.629188,2025-07-18 00:07:16.218015,0.01,0,1,1,1,0
16785,2025-07-18 00:08:16.645204,2025-07-18 00:08:17.185877,0.01,0,1,1,1,0
16786,2025-07-18 00:09:17.609838,2025-07-18 00:09:18.189839,0.01,0,1,1,1,0
16787,2025-07-18 00:10:18.611053,2025-07-18 00:10:19.187452,0.01,0,1,1,1,0
16788,2025-07-18 00:11:19.610496,2025-07-18 00:11:20.190538,0.01,0,1,1,1,0
16789,2025-07-18 00:12:20.618548,2025-07-18 00:12:21.200937,0.01,0,1,1,1,0
16790,2025-07-18 00:13:21.624746,2025-07-18 00:13:22.201332,0.01,0,1,1,1,0
16791,2025-07-18 00:14:22.630884,2025-07-18 00:14:23.209574,0.01,0,1,1,1,0
16792,2025-07-18 00:15:23.633843,2025-07-18 00:15:24.217880,0.01,0,1,1,1,0
16793,2025-07-18 00:16:24.642308,2025-07-18 00:16:25.186094,0.01,0,1,1,1,0
16794,2025-07-18 00:17:25.609122,2025-07-18 00:17:26.153614,0.01,0,1,1,1,0
16795,2025-07-18 00:18:26.591777,2025-07-18 00:18:27.179224,0.01,0,1,1,1,0
16796,2025-07-18 00:19:27.611702,2025-07-18 00:19:28.193894,0.01,0,1,1,1,0
16797,2025-07-18 00:20:28.648611,2025-07-18 00:20:29.217740,0.01,0,1,1,1,0
16798,2025-07-18 00:21:29.667535,2025-07-18 00:21:30.245939,0.01,0,1,1,1,0
16799,2025-07-18 00:22:30.671086,2025-07-18 00:22:31.257341,0.01,0,1,1,1,0
16800,2025-07-18 00:23:31.679384,2025-07-18 00:23:32.267328,0.01,0,1,1,1,0
16801,2025-07-18 00:24:32.690676,2025-07-18 00:24:33.277470,0.01,0,1,1,1,0
16802,2025-07-18 00:25:33.701177,2025-07-18 00:25:34.289224,0.01,0,1,1,1,0
16803,2025-07-18 00:26:34.716753,2025-07-18 00:26:35.312359,0.01,0,1,1,1,0
16804,2025-07-18 00:27:35.735545,2025-07-18 00:27:36.329887,0.01,0,1,1,1,0
16805,2025-07-18 00:28:36.753370,2025-07-18 00:28:37.349648,0.01,0,1,1,1,0
16806,2025-07-18 00:29:37.773002,2025-07-18 00:29:38.344924,0.01,0,1,1,1,0
16807,2025-07-18 00:30:38.768974,2025-07-18 00:30:39.342882,0.01,0,1,1,1,0
16808,2025-07-18 00:31:39.764800,2025-07-18 00:31:40.358901,0.01,0,1,1,1,0
16809,2025-07-18 00:32:40.782832,2025-07-18 00:32:41.326797,0.01,0,1,1,1,0
16810,2025-07-18 00:33:41.748855,2025-07-18 00:33:42.293181,0.01,0,1,1,1,0
16811,2025-07-18 00:34:42.714682,2025-07-18 00:34:43.301638,0.01,0,1,1,1,0
16812,2025-07-18 00:35:43.725858,2025-07-18 00:35:44.267294,0.01,0,1,1,1,0
16813,2025-07-18 00:36:44.691999,2025-07-18 00:36:45.280311,0.01,0,1,1,1,0
16814,2025-07-18 00:37:45.702302,2025-07-18 00:37:46.307060,0.01,0,1,1,1,0
16815,2025-07-18 00:38:46.738599,2025-07-18 00:38:47.326479,0.01,0,1,1,1,0
16816,2025-07-18 00:39:47.752171,2025-07-18 00:39:48.335525,0.01,0,1,1,1,0
16817,2025-07-18 00:40:48.762209,2025-07-18 00:40:49.340398,0.01,0,1,1,1,0
16818,2025-07-18 00:41:49.766918,2025-07-18 00:41:50.348125,0.01,0,1,1,1,0
16819,2025-07-18 00:42:50.981682,2025-07-18 00:42:51.568640,0.01,0,1,1,1,0
16820,2025-07-18 00:43:51.991667,2025-07-18 00:43:52.576951,0.01,0,1,1,1,0
16821,2025-07-18 00:44:53.002442,2025-07-18 00:44:53.588755,0.01,0,1,1,1,0
16822,2025-07-18 00:45:54.011531,2025-07-18 00:45:54.604696,0.01,0,1,1,1,0
16823,2025-07-18 00:46:55.033112,2025-07-18 00:46:55.645478,0.01,0,1,1,1,0
16824,2025-07-18 00:47:56.071036,2025-07-18 00:47:56.659499,0.01,0,1,1,1,0
16825,2025-07-18 00:48:57.085622,2025-07-18 00:48:57.681168,0.01,0,1,1,1,0
16826,2025-07-18 00:49:58.121728,2025-07-18 00:49:58.716025,0.01,0,1,1,1,0
16827,2025-07-18 00:50:59.147148,2025-07-18 00:50:59.736112,0.01,0,1,1,1,0
16828,2025-07-18 00:52:00.165036,2025-07-18 00:52:00.752606,0.01,0,1,1,1,0
16829,2025-07-18 00:53:01.178614,2025-07-18 00:53:01.729286,0.01,0,1,1,1,0
16830,2025-07-18 00:54:02.158390,2025-07-18 00:54:02.744207,0.01,0,1,1,1,0
16831,2025-07-18 00:55:03.175714,2025-07-18 00:55:03.821042,0.01,0,1,1,1,0
16832,2025-07-18 00:56:04.249754,2025-07-18 00:56:04.881488,0.01,0,1,1,1,0
16833,2025-07-18 00:57:05.307947,2025-07-18 00:57:05.966055,0.01,0,1,1,1,0
16834,2025-07-18 00:58:06.392886,2025-07-18 00:58:07.013526,0.01,0,1,1,1,0
16835,2025-07-18 00:59:07.441117,2025-07-18 00:59:08.057521,0.01,0,1,1,1,0
16836,2025-07-18 01:00:08.485754,2025-07-18 01:00:09.108101,0.01,0,1,1,1,0
16837,2025-07-18 01:01:09.538533,2025-07-18 01:01:10.152600,0.01,0,1,1,1,0
16838,2025-07-18 01:02:10.577498,2025-07-18 01:02:11.191490,0.01,0,1,1,1,0
16839,2025-07-18 01:03:11.616804,2025-07-18 01:03:12.272284,0.01,0,1,1,1,0
16840,2025-07-18 01:04:12.695843,2025-07-18 01:04:13.311605,0.01,0,1,1,1,0
