Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
34939,2025-08-01 00:00:21.887345,2025-08-01 00:00:49.923992,0.47,0,1,1,1,0
34940,2025-08-01 00:01:50.372160,2025-08-01 00:01:50.852551,0.01,0,0,0,0,0
34941,2025-08-01 00:02:51.283856,2025-08-01 00:02:51.763387,0.01,0,0,0,0,0
34942,2025-08-01 00:03:52.202150,2025-08-01 00:03:52.644403,0.01,0,0,0,0,0
34943,2025-08-01 00:04:53.076947,2025-08-01 00:04:53.513597,0.01,0,0,0,0,0
34944,2025-08-01 00:05:53.943521,2025-08-01 00:05:54.420122,0.01,0,0,0,0,0
34945,2025-08-01 00:06:54.851423,2025-08-01 00:06:55.333156,0.01,0,0,0,0,0
34946,2025-08-01 00:07:55.824454,2025-08-01 00:07:56.271653,0.01,0,0,0,0,0
34947,2025-08-01 00:08:56.707422,2025-08-01 00:08:57.145408,0.01,0,0,0,0,0
34948,2025-08-01 00:09:57.584684,2025-08-01 00:09:58.024983,0.01,0,0,0,0,0
34949,2025-08-01 00:10:58.460503,2025-08-01 00:10:58.896880,0.01,0,0,0,0,0
34950,2025-08-01 00:11:59.328989,2025-08-01 00:11:59.769999,0.01,0,0,0,0,0
34951,2025-08-01 00:13:00.212692,2025-08-01 00:13:00.647995,0.01,0,0,0,0,0
34952,2025-08-01 00:14:01.083587,2025-08-01 00:14:01.575750,0.01,0,0,0,0,0
34953,2025-08-01 00:15:02.018486,2025-08-01 00:15:02.454971,0.01,0,0,0,0,0
34954,2025-08-01 00:16:02.884145,2025-08-01 00:16:03.374569,0.01,0,0,0,0,0
34955,2025-08-01 00:17:03.812776,2025-08-01 00:17:04.256209,0.01,0,0,0,0,0
34956,2025-08-01 00:18:04.687392,2025-08-01 00:18:05.170483,0.01,0,0,0,0,0
34957,2025-08-01 00:19:05.604626,2025-08-01 00:19:06.073308,0.01,0,0,0,0,0
34958,2025-08-01 00:20:06.522344,2025-08-01 00:20:06.984313,0.01,0,0,0,0,0
34959,2025-08-01 00:21:07.414524,2025-08-01 00:21:07.880741,0.01,0,0,0,0,0
34960,2025-08-01 00:22:08.311461,2025-08-01 00:22:08.771745,0.01,0,0,0,0,0
34961,2025-08-01 00:23:09.205401,2025-08-01 00:23:09.669033,0.01,0,0,0,0,0
34962,2025-08-01 00:24:10.110866,2025-08-01 00:24:10.575378,0.01,0,0,0,0,0
34963,2025-08-01 00:25:11.004236,2025-08-01 00:25:11.474352,0.01,0,0,0,0,0
34964,2025-08-01 00:26:11.911095,2025-08-01 00:26:12.376346,0.01,0,0,0,0,0
34965,2025-08-01 00:27:12.806306,2025-08-01 00:27:13.483519,0.01,0,1,1,1,0
34966,2025-08-01 00:28:13.912993,2025-08-01 00:28:14.571716,0.01,0,1,1,1,0
34967,2025-08-01 00:29:15.011678,2025-08-01 00:29:15.684087,0.01,0,1,1,1,0
34968,2025-08-01 00:30:16.116492,2025-08-01 00:30:16.776288,0.01,0,1,1,1,0
34969,2025-08-01 00:31:17.207798,2025-08-01 00:31:17.865994,0.01,0,1,1,1,0
34970,2025-08-01 00:32:18.322696,2025-08-01 00:32:18.992445,0.01,0,1,1,1,0
34971,2025-08-01 00:33:19.426156,2025-08-01 00:33:20.096363,0.01,0,1,1,1,0
34972,2025-08-01 00:34:20.529985,2025-08-01 00:34:21.203000,0.01,0,1,1,1,0
34973,2025-08-01 00:35:21.632252,2025-08-01 00:35:22.299301,0.01,0,1,1,1,0
34974,2025-08-01 00:36:22.739990,2025-08-01 00:36:23.408942,0.01,0,1,1,1,0
34975,2025-08-01 00:37:23.859228,2025-08-01 00:37:24.486191,0.01,0,1,1,1,0
34976,2025-08-01 00:38:24.918325,2025-08-01 00:38:25.588689,0.01,0,1,1,1,0
34977,2025-08-01 00:39:26.023231,2025-08-01 00:39:26.696294,0.01,0,1,1,1,0
34978,2025-08-01 00:40:27.128465,2025-08-01 00:40:27.778302,0.01,0,1,1,1,0
34979,2025-08-01 00:41:28.211555,2025-08-01 00:41:28.878062,0.01,0,1,1,1,0
34980,2025-08-01 00:42:29.308664,2025-08-01 00:42:29.977969,0.01,0,1,1,1,0
34981,2025-08-01 00:43:30.412190,2025-08-01 00:43:31.037138,0.01,0,1,1,1,0
34982,2025-08-01 00:44:31.469365,2025-08-01 00:44:32.149210,0.01,0,1,1,1,0
34983,2025-08-01 00:45:32.584302,2025-08-01 00:45:33.268433,0.01,0,1,1,1,0
34984,2025-08-01 00:46:33.748664,2025-08-01 00:46:34.420362,0.01,0,1,1,1,0
34985,2025-08-01 00:47:34.853118,2025-08-01 00:47:35.530026,0.01,0,1,1,1,0
34986,2025-08-01 00:48:35.970151,2025-08-01 00:48:36.701432,0.01,0,1,1,1,0
34987,2025-08-01 00:49:37.133404,2025-08-01 00:49:37.874807,0.01,0,1,1,1,0
34988,2025-08-01 00:50:38.315492,2025-08-01 00:50:39.050898,0.01,0,1,1,1,0
34989,2025-08-01 00:51:39.498930,2025-08-01 00:51:40.241767,0.01,0,1,1,1,0
34990,2025-08-01 00:52:40.679725,2025-08-01 00:52:41.408764,0.01,0,1,1,1,0
34991,2025-08-01 00:53:41.845489,2025-08-01 00:53:42.579263,0.01,0,1,1,1,0
34992,2025-08-01 00:54:43.014304,2025-08-01 00:54:43.742291,0.01,0,1,1,1,0
34993,2025-08-01 00:55:44.175333,2025-08-01 00:55:44.874186,0.01,0,1,1,1,0
34994,2025-08-01 00:56:45.320851,2025-08-01 00:56:46.105459,0.01,0,1,1,1,0
34995,2025-08-01 00:57:46.565990,2025-08-01 00:57:47.373609,0.01,0,1,1,1,0
34996,2025-08-01 00:58:47.807259,2025-08-01 00:58:48.610682,0.01,0,1,1,1,0
34997,2025-08-01 00:59:49.042644,2025-08-01 00:59:49.844192,0.01,0,1,1,1,0
34998,2025-08-01 01:00:50.295905,2025-08-01 01:00:51.144094,0.01,0,1,1,1,0
34999,2025-08-01 01:01:51.582088,2025-08-01 01:01:52.426910,0.01,0,1,1,1,0
35000,2025-08-01 01:02:52.922002,2025-08-01 01:02:53.783647,0.01,0,1,1,1,0
35001,2025-08-01 01:03:54.215281,2025-08-01 01:03:55.057485,0.01,0,1,1,1,0
35002,2025-08-01 01:04:55.490096,2025-08-01 01:04:56.345359,0.01,0,1,1,1,0
35003,2025-08-01 01:05:56.778179,2025-08-01 01:05:57.623584,0.01,0,1,1,1,0
35004,2025-08-01 01:06:58.053956,2025-08-01 01:06:58.904057,0.01,0,1,1,1,0
35005,2025-08-01 01:07:59.340288,2025-08-01 01:08:00.232894,0.01,0,1,1,1,0
35006,2025-08-01 01:09:00.673120,2025-08-01 01:09:01.569932,0.01,0,1,1,1,0
35007,2025-08-01 01:10:02.013495,2025-08-01 01:10:02.861144,0.01,0,1,1,1,0
35008,2025-08-01 01:11:03.294704,2025-08-01 01:11:04.144534,0.01,0,1,1,1,0
35009,2025-08-01 01:12:04.577640,2025-08-01 01:12:05.425673,0.01,0,1,1,1,0
35010,2025-08-01 01:13:05.856737,2025-08-01 01:13:06.710720,0.01,0,1,1,1,0
35011,2025-08-01 01:14:07.149565,2025-08-01 01:14:07.992705,0.01,0,1,1,1,0
35012,2025-08-01 01:15:08.424708,2025-08-01 01:15:09.276172,0.01,0,1,1,1,0
35013,2025-08-01 01:16:09.711505,2025-08-01 01:16:10.598173,0.01,0,1,1,1,0
35014,2025-08-01 01:17:11.046035,2025-08-01 01:17:11.945006,0.01,0,1,1,1,0
35015,2025-08-01 01:18:12.379166,2025-08-01 01:18:13.271475,0.01,0,1,1,1,0
35016,2025-08-01 01:19:13.701446,2025-08-01 01:19:14.558186,0.01,0,1,1,1,0
35017,2025-08-01 01:20:14.988146,2025-08-01 01:20:15.882242,0.01,0,1,1,1,0
35018,2025-08-01 01:21:16.316348,2025-08-01 01:21:17.210783,0.01,0,1,1,1,0
35019,2025-08-01 01:22:17.646637,2025-08-01 01:22:18.569934,0.02,0,1,1,1,0
35020,2025-08-01 01:23:18.999737,2025-08-01 01:23:19.911568,0.02,0,1,1,1,0
35021,2025-08-01 01:24:20.344953,2025-08-01 01:24:21.308358,0.02,0,1,1,1,0
35022,2025-08-01 01:25:21.740105,2025-08-01 01:25:22.700348,0.02,0,1,1,1,0
35023,2025-08-01 01:26:23.139001,2025-08-01 01:26:24.108316,0.02,0,1,1,1,0
35024,2025-08-01 01:27:24.539258,2025-08-01 01:27:25.508416,0.02,0,1,1,1,0
35025,2025-08-01 01:28:25.939911,2025-08-01 01:28:26.905223,0.02,0,1,1,1,0
35026,2025-08-01 01:29:27.357212,2025-08-01 01:29:28.304992,0.02,0,1,1,1,0
35027,2025-08-01 01:30:28.759268,2025-08-01 01:30:29.716783,0.02,0,1,1,1,0
35028,2025-08-01 01:31:30.230792,2025-08-01 01:31:31.214971,0.02,0,1,1,1,0
35029,2025-08-01 01:32:31.655643,2025-08-01 01:32:32.629016,0.02,0,1,1,1,0
35030,2025-08-01 01:33:33.059869,2025-08-01 01:33:34.025349,0.02,0,1,1,1,0
35031,2025-08-01 01:34:34.457684,2025-08-01 01:34:35.411726,0.02,0,1,1,1,0
35032,2025-08-01 01:35:35.843164,2025-08-01 01:35:36.854485,0.02,0,1,1,1,0
35033,2025-08-01 01:36:37.299111,2025-08-01 01:36:38.307781,0.02,0,1,1,1,0
35034,2025-08-01 01:37:38.740735,2025-08-01 01:37:39.745525,0.02,0,1,1,1,0
35035,2025-08-01 01:38:40.181714,2025-08-01 01:38:41.220766,0.02,0,1,1,1,0
35036,2025-08-01 01:39:41.685000,2025-08-01 01:39:42.723980,0.02,0,1,1,1,0
