Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
4327,2025-07-08 00:00:12.828419,2025-07-08 00:00:25.081260,0.20,0,1,1,1,0
4328,2025-07-08 00:01:26.041629,2025-07-08 00:01:38.211335,0.20,0,1,1,1,0
4329,2025-07-08 00:02:39.097331,2025-07-08 00:02:39.956470,0.01,0,0,0,0,0
4330,2025-07-08 00:03:40.857397,2025-07-08 00:03:41.720642,0.01,0,0,0,0,0
4331,2025-07-08 00:04:42.605298,2025-07-08 00:04:43.468711,0.01,0,0,0,0,0
4332,2025-07-08 00:05:44.359610,2025-07-08 00:05:45.272454,0.02,0,0,0,0,0
4333,2025-07-08 00:06:46.167417,2025-07-08 00:06:47.091150,0.02,0,0,0,0,0
4334,2025-07-08 00:07:47.977428,2025-07-08 00:07:48.882804,0.02,0,0,0,0,0
4335,2025-07-08 00:08:49.783655,2025-07-08 00:08:50.684787,0.02,0,0,0,0,0
4336,2025-07-08 00:09:51.568716,2025-07-08 00:09:52.474775,0.02,0,0,0,0,0
4337,2025-07-08 00:10:53.360687,2025-07-08 00:10:54.257945,0.01,0,0,0,0,0
4338,2025-07-08 00:11:55.149887,2025-07-08 00:11:56.042220,0.01,0,0,0,0,0
4339,2025-07-08 00:12:56.924402,2025-07-08 00:12:57.818074,0.01,0,0,0,0,0
4340,2025-07-08 00:13:58.709002,2025-07-08 00:13:59.656337,0.02,0,0,0,0,0
4341,2025-07-08 00:15:00.587016,2025-07-08 00:15:01.538225,0.02,0,0,0,0,0
4342,2025-07-08 00:16:02.465189,2025-07-08 00:16:03.356980,0.01,0,0,0,0,0
4343,2025-07-08 00:17:04.248363,2025-07-08 00:17:05.153893,0.02,0,0,0,0,0
4344,2025-07-08 00:18:06.059453,2025-07-08 00:18:06.948325,0.01,0,0,0,0,0
4345,2025-07-08 00:19:07.833202,2025-07-08 00:19:08.732015,0.01,0,0,0,0,0
4346,2025-07-08 00:20:09.623410,2025-07-08 00:20:10.512697,0.01,0,0,0,0,0
4347,2025-07-08 00:21:11.407092,2025-07-08 00:21:12.297797,0.01,0,0,0,0,0
4348,2025-07-08 00:22:13.192920,2025-07-08 00:22:14.101266,0.02,0,0,0,0,0
4349,2025-07-08 00:23:15.002546,2025-07-08 00:23:15.913683,0.02,0,0,0,0,0
4350,2025-07-08 00:24:16.870397,2025-07-08 00:24:17.780927,0.02,0,0,0,0,0
4351,2025-07-08 00:25:18.668325,2025-07-08 00:25:19.631587,0.02,0,0,0,0,0
4352,2025-07-08 00:26:20.509747,2025-07-08 00:26:21.402524,0.01,0,0,0,0,0
4353,2025-07-08 00:27:22.291163,2025-07-08 00:27:23.206687,0.02,0,0,0,0,0
4354,2025-07-08 00:28:24.132326,2025-07-08 00:28:25.058218,0.02,0,0,0,0,0
4355,2025-07-08 00:29:25.947803,2025-07-08 00:29:26.839898,0.01,0,0,0,0,0
4356,2025-07-08 00:30:27.723801,2025-07-08 00:30:28.612440,0.01,0,0,0,0,0
4357,2025-07-08 00:31:29.495665,2025-07-08 00:31:30.406110,0.02,0,0,0,0,0
4358,2025-07-08 00:32:31.295292,2025-07-08 00:32:32.230440,0.02,0,0,0,0,0
4359,2025-07-08 00:33:33.169603,2025-07-08 00:33:34.077423,0.02,0,0,0,0,0
4360,2025-07-08 00:34:35.004034,2025-07-08 00:34:35.909643,0.02,0,0,0,0,0
4361,2025-07-08 00:35:36.800729,2025-07-08 00:35:37.714060,0.02,0,0,0,0,0
4362,2025-07-08 00:36:38.615148,2025-07-08 00:36:39.528801,0.02,0,0,0,0,0
4363,2025-07-08 00:37:40.423152,2025-07-08 00:37:41.326710,0.02,0,0,0,0,0
4364,2025-07-08 00:38:42.211882,2025-07-08 00:38:43.104909,0.01,0,0,0,0,0
4365,2025-07-08 00:39:43.987265,2025-07-08 00:39:44.930224,0.02,0,0,0,0,0
4366,2025-07-08 00:40:45.921643,2025-07-08 00:40:46.824342,0.02,0,0,0,0,0
4367,2025-07-08 00:41:47.728299,2025-07-08 00:41:48.622008,0.01,0,0,0,0,0
4368,2025-07-08 00:42:49.511099,2025-07-08 00:42:50.421286,0.02,0,0,0,0,0
4369,2025-07-08 00:43:51.309469,2025-07-08 00:43:52.225169,0.02,0,0,0,0,0
4370,2025-07-08 00:44:53.111587,2025-07-08 00:44:54.005800,0.01,0,0,0,0,0
4371,2025-07-08 00:45:54.897469,2025-07-08 00:45:55.803198,0.02,0,0,0,0,0
4372,2025-07-08 00:46:56.698736,2025-07-08 00:46:57.602714,0.02,0,0,0,0,0
