Sessão ID,Início,Fim,Duração (min),ZIPs Processados,Logs Processados,CSVs Gerados,Registros SQL,Erros
15482,2025-07-17 00:00:46.923888,2025-07-17 00:00:47.354727,0.01,0,0,0,0,0
15483,2025-07-17 00:01:47.780094,2025-07-17 00:01:48.214073,0.01,0,0,0,0,0
15484,2025-07-17 00:02:48.638161,2025-07-17 00:02:49.070441,0.01,0,0,0,0,0
15485,2025-07-17 00:03:49.510527,2025-07-17 00:03:49.938569,0.01,0,0,0,0,0
15486,2025-07-17 00:04:50.366325,2025-07-17 00:04:50.837343,0.01,0,0,0,0,0
15487,2025-07-17 00:05:51.262937,2025-07-17 00:05:51.741079,0.01,0,0,0,0,0
15488,2025-07-17 00:06:52.165140,2025-07-17 00:06:52.628218,0.01,0,0,0,0,0
15489,2025-07-17 00:07:53.053373,2025-07-17 00:07:53.528279,0.01,0,0,0,0,0
15490,2025-07-17 00:08:53.954763,2025-07-17 00:08:54.414254,0.01,0,0,0,0,0
15491,2025-07-17 00:09:54.843564,2025-07-17 00:09:55.297527,0.01,0,0,0,0,0
15492,2025-07-17 00:10:55.727315,2025-07-17 00:10:56.292805,0.01,0,1,1,1,0
15493,2025-07-17 00:11:56.715643,2025-07-17 00:11:57.290114,0.01,0,1,1,1,0
15494,2025-07-17 00:12:57.720459,2025-07-17 00:12:58.292255,0.01,0,1,1,1,0
15495,2025-07-17 00:13:58.731092,2025-07-17 00:13:59.334429,0.01,0,1,1,1,0
15496,2025-07-17 00:14:59.764991,2025-07-17 00:15:00.371303,0.01,0,1,1,1,0
15497,2025-07-17 00:16:00.801058,2025-07-17 00:16:01.383155,0.01,0,1,1,1,0
15498,2025-07-17 00:17:01.815370,2025-07-17 00:17:02.402220,0.01,0,1,1,1,0
15499,2025-07-17 00:18:02.834324,2025-07-17 00:18:03.415991,0.01,0,1,1,1,0
15500,2025-07-17 00:19:03.841661,2025-07-17 00:19:04.415743,0.01,0,1,1,1,0
15501,2025-07-17 00:20:04.842465,2025-07-17 00:20:05.438780,0.01,0,1,1,1,0
15502,2025-07-17 00:21:05.863884,2025-07-17 00:21:06.453056,0.01,0,1,1,1,0
15503,2025-07-17 00:22:06.880414,2025-07-17 00:22:10.518728,0.06,0,1,1,1,0
15504,2025-07-17 00:23:10.944299,2025-07-17 00:23:11.516206,0.01,0,1,1,1,0
15505,2025-07-17 00:24:11.942268,2025-07-17 00:24:12.523029,0.01,0,1,1,1,0
15506,2025-07-17 00:25:12.948453,2025-07-17 00:25:13.540628,0.01,0,1,1,1,0
15507,2025-07-17 00:26:13.965351,2025-07-17 00:26:14.577298,0.01,0,1,1,1,0
15508,2025-07-17 00:27:15.001761,2025-07-17 00:27:15.590117,0.01,0,1,1,1,0
15509,2025-07-17 00:28:16.039582,2025-07-17 00:28:16.614564,0.01,0,1,1,1,0
15510,2025-07-17 00:29:17.039089,2025-07-17 00:29:17.629276,0.01,0,1,1,1,0
15511,2025-07-17 00:30:18.050955,2025-07-17 00:30:18.637082,0.01,0,1,1,1,0
15512,2025-07-17 00:31:19.061743,2025-07-17 00:31:19.608464,0.01,0,1,1,1,0
15513,2025-07-17 00:32:20.033608,2025-07-17 00:32:20.617793,0.01,0,1,1,1,0
15514,2025-07-17 00:33:21.052916,2025-07-17 00:33:21.637922,0.01,0,1,1,1,0
15515,2025-07-17 00:34:22.068969,2025-07-17 00:34:22.611461,0.01,0,1,1,1,0
15516,2025-07-17 00:35:23.050311,2025-07-17 00:35:23.649563,0.01,0,1,1,1,0
15517,2025-07-17 00:36:24.074692,2025-07-17 00:36:24.657387,0.01,0,1,1,1,0
15518,2025-07-17 00:37:25.084129,2025-07-17 00:37:25.670933,0.01,0,1,1,1,0
15519,2025-07-17 00:38:26.095127,2025-07-17 00:38:26.683051,0.01,0,1,1,1,0
15520,2025-07-17 00:39:27.109634,2025-07-17 00:39:27.654731,0.01,0,1,1,1,0
15521,2025-07-17 00:40:28.078348,2025-07-17 00:40:28.621726,0.01,0,1,1,1,0
15522,2025-07-17 00:41:29.048404,2025-07-17 00:41:29.632982,0.01,0,1,1,1,0
15523,2025-07-17 00:42:30.060373,2025-07-17 00:42:30.608433,0.01,0,1,1,1,0
15524,2025-07-17 00:43:31.041760,2025-07-17 00:43:31.626998,0.01,0,1,1,1,0
15525,2025-07-17 00:44:32.052242,2025-07-17 00:44:32.645527,0.01,0,1,1,1,0
15526,2025-07-17 00:45:33.071744,2025-07-17 00:45:33.665065,0.01,0,1,1,1,0
15527,2025-07-17 00:46:34.091450,2025-07-17 00:46:34.685313,0.01,0,1,1,1,0
15528,2025-07-17 00:47:35.116049,2025-07-17 00:47:35.658644,0.01,0,1,1,1,0
15529,2025-07-17 00:48:36.084539,2025-07-17 00:48:36.632578,0.01,0,1,1,1,0
15530,2025-07-17 00:49:37.059748,2025-07-17 00:49:37.628107,0.01,0,1,1,1,0
15531,2025-07-17 00:50:38.052319,2025-07-17 00:50:38.618496,0.01,0,1,1,1,0
15532,2025-07-17 00:51:39.043227,2025-07-17 00:51:39.612253,0.01,0,1,1,1,0
15533,2025-07-17 00:52:40.038636,2025-07-17 00:52:40.633565,0.01,0,1,1,1,0
15534,2025-07-17 00:53:41.060969,2025-07-17 00:53:41.638312,0.01,0,1,1,1,0
15535,2025-07-17 00:54:42.061587,2025-07-17 00:54:42.628411,0.01,0,1,1,1,0
15536,2025-07-17 00:55:43.053723,2025-07-17 00:55:43.641645,0.01,0,1,1,1,0
15537,2025-07-17 00:56:44.069420,2025-07-17 00:56:44.633330,0.01,0,1,1,1,0
15538,2025-07-17 00:57:45.066228,2025-07-17 00:57:45.647936,0.01,0,1,1,1,0
